Player,Placement,Clan
ohJared,1,Stud
SUGARCANDYSC,2,
icyfireSC,3,Fallen
Mashad,4,VENDETTA
chenmashraki,5,BlackListed
xloray,6,Fallen
rickydwag,7,Virus
NOT_YAHYA,8,BloodLust
IamArezki,9,THEBOIS
abhisnehdas,10,
sandwichbatata,11,
Adel_cool,12,
Milan_PlayzMC,13,Drip
svit2008,14,NEXUS
tomiey,15,Serbia
teatrix,16,BloodLust
AFK_AMOGH,17,Fallen
adriankal,18,NEXUS
callmeobisidian,19,NEXUS
M3ax,20,FRW
gogli_gamer,21,Fallen
Buibaob3,22,NEXUS
BHUKING,23,ANNOY
Millena2006,24,ECHO
isco003,25,THEBOIS
Revenge1812,26,
anooby,27,BloodLust
ItsAlexandra,28,Phenoms
GamingWithIcons,29,Drip
ItsLmb,30,BloodLust
NIREEKSHITTH,31,solace
WolfgangPlayz60,32,BestPPL
qwz,33,FEAR
DuciMC,34,
Nirsik,35,Fallen
Real_Gab,36,BloodLust
Dream3399,37,
Binayy,38,Stud
imascraaab,39,MeoW
Whitepink_mls,40,Violet
Gaminghacker7,41,THEBOIS
_joyjoelyan78_,42,Altair
TakshilMinec,43,Tacos
TiedTraffic9,44,Gem
EpicAnkush27,45,
djekic,46,ZEUS
XLR8SPIKE,47,
Mrays,48,Tragedy
DexteR3_,49,
RachuCiachu,50,
ToqqleKey,51,
luxven06,52,
cal_maximal,53,Gem
rauf_gamer,54,Invincibles
MagLS,55,TeaParty
Kaiwie_,56,Gem
Devilop27,57,
Begone124,58,
miracle_sumy,59,
zamasu666,60,NEXUS
HetPatel729,61,
Georno77,62,RIP
RenderDistance2,63,
nugget249,64,MONGOLOID
SnackMe,65,
IYBRohan,66,Gem
DreamyXero,67,UmayFanClub
OhHqrizon_,68,TNG
harshil_mc,69,THEBOIS
ITSABHINAV,70,HAH
hqd_d,71,NEXUS
Jaruwu2,72,Virus
HAMHASH11223344,73,
Its_Illusion_YT,74,Fallen
XxSweetCandyxX,75,Violet
